"","scientificName","year","lon","lat","presence","row_code","species"
"225047","Bradypus tridactylus",2022,-55.211258,5.84551,1,1,"Bradypus tridactylus"
"225048","Bradypus tridactylus",2022,-52.247773,4.710535,1,2,"Bradypus tridactylus"
"225049","Bradypus tridactylus",2022,-55.390009,4.338627,1,3,"Bradypus tridactylus"
"225123","Bradypus tridactylus",2018,-55.1178,5.7995,1,4,"Bradypus tridactylus"
"225052","Bradypus tridactylus",2022,-55.862926,-1.760728,1,5,"Bradypus tridactylus"
"225053","Bradypus tridactylus",2022,-52.338889,4.767101,1,6,"Bradypus tridactylus"
"225055","Bradypus tridactylus",2022,-59.017977,4.122754,1,7,"Bradypus tridactylus"
"225058","Bradypus tridactylus",2022,-53.125782,3.933889,1,8,"Bradypus tridactylus"
"225059","Bradypus tridactylus",2022,-59.240981,7.808831,1,9,"Bradypus tridactylus"
"225060","Bradypus tridactylus",2022,-55.053947,5.669207,1,10,"Bradypus tridactylus"
"225061","Bradypus tridactylus",2022,-60.093275,-3.058592,1,11,"Bradypus tridactylus"
"225063","Bradypus tridactylus",2021,-52.370663,4.682575,1,12,"Bradypus tridactylus"
"225068","Bradypus tridactylus",2021,-52.653703,5.171483,1,13,"Bradypus tridactylus"
"225065","Bradypus tridactylus",2021,-60.091808,-3.049012,1,14,"Bradypus tridactylus"
"225187","Bradypus tridactylus",2015,-52.262664,4.889554,1,15,"Bradypus tridactylus"
"225067","Bradypus tridactylus",2021,-52.257361,4.882252,1,16,"Bradypus tridactylus"
"225069","Bradypus tridactylus",2021,-55.173494,5.803282,1,17,"Bradypus tridactylus"
"225071","Bradypus tridactylus",2021,-59.063145,4.17468,1,18,"Bradypus tridactylus"
"225072","Bradypus tridactylus",2020,-52.701111,5.073611,1,19,"Bradypus tridactylus"
"225101","Bradypus tridactylus",2019,-60.087267,-3.0164,1,20,"Bradypus tridactylus"
"225074","Bradypus tridactylus",2020,-57.19709,4.423802,1,21,"Bradypus tridactylus"
"225171","Bradypus tridactylus",2017,-55.180413,4.948807,1,22,"Bradypus tridactylus"
"225077","Bradypus tridactylus",2020,-55.09768,5.626479,1,23,"Bradypus tridactylus"
"225127","Bradypus tridactylus",2018,-55.158681,5.845823,1,24,"Bradypus tridactylus"
"225086","Bradypus tridactylus",2020,-55.299747,5.813652,1,25,"Bradypus tridactylus"
"225084","Bradypus tridactylus",2020,-60.086765,-3.017055,1,26,"Bradypus tridactylus"
"225144","Bradypus tridactylus",2018,-52.27913,4.88412,1,27,"Bradypus tridactylus"
"225093","Bradypus tridactylus",2020,-52.260729,4.876562,1,28,"Bradypus tridactylus"
"225090","Bradypus tridactylus",2020,-52.268278,4.893242,1,29,"Bradypus tridactylus"
"225091","Bradypus tridactylus",2020,-52.532228,4.530643,1,30,"Bradypus tridactylus"
"225092","Bradypus tridactylus",2020,-52.50868,4.98305,1,31,"Bradypus tridactylus"
"225094","Bradypus tridactylus",2020,-52.56832,5.092595,1,32,"Bradypus tridactylus"
"225095","Bradypus tridactylus",2020,-53.446104,5.549099,1,33,"Bradypus tridactylus"
"225179","Bradypus tridactylus",2016,-52.33775,4.808608,1,34,"Bradypus tridactylus"
"225097","Bradypus tridactylus",2019,-55.096916,5.648654,1,35,"Bradypus tridactylus"
"225142","Bradypus tridactylus",2018,-55.129589,5.790315,1,36,"Bradypus tridactylus"
"225099","Bradypus tridactylus",2019,-58.788728,4.49864,1,37,"Bradypus tridactylus"
"225102","Bradypus tridactylus",2019,-59.93969,-3.003247,1,38,"Bradypus tridactylus"
"225103","Bradypus tridactylus",2019,-55.545681,5.836589,1,39,"Bradypus tridactylus"
"225105","Bradypus tridactylus",2019,-59.771525,-2.448927,1,40,"Bradypus tridactylus"
"225106","Bradypus tridactylus",2019,-55.481414,5.770633,1,41,"Bradypus tridactylus"
